;BKW;Insel;A+;
7.1;829.5;238.75;415.897;
12.1;833.6;239.24;417.175;
13.1;834.5;239.63;417.235;
19.1;840;242.55;418.215;
20.1;842.1;243.38;418.899;
21.1;844.2;244.18;419.079;
26.1;849.9;247.18;420.652;
27.1;852.1;247.9;421.023;
28.1;854.3;248.69;421.918;
30.1;858.7;250.23;423.665;
31.1;859.9;250.8;424.01;424.01
2.2;861.8;251.79;424.427;
3.2;863.4;252.42;424.851;
4.2;864.5;253.13;424.935;
5.2;866.2;253.87;425.19;
6.2;867.5;254.55;425.21
7.2;868;255.04;425.21
9.2;869.5;255.94;425.233
10.2;871.1;256.65;425.342
11.2;871.3;256.8;425.342
12.2;872.8;257.58;425.795
13.2;874.5;258.35;426.466
14.2;876.6;259.15;427.234
15.2;878;259.7;427.824
16.2;880.6;260.49;429.134
17.2;881.3;260.88;429.179
18.2;883.7;261.69;430.049
19.2;884.9;262.37;430.38
20.2;887;263.14;431.129
21.2;888.5;263.88;431.486
22.2;889.4;264.45;431.523
23.2;889.9;264.7;431.529;
24.2;892.6;265.5;432.458;
25.2;894.1;266.19;432.596;
26.2;896.8;266.98;433.804;
27.2;898.7;267.79;434.387;
28.2;900.5;268.6;434.69;
29.2;903.2;269.39;435.985;435.985
1.3;903.8;269.77;435.988;
2.3;904.4;270.14;435.989;
3.3;907.9;271;437.915;
4.3;911.3;271.83;439.567;
5.3;913.2;272.68;440.409;
6.3;915.9;273.42;441.648;
7.3;916.9;273.99;441.766;
8.3;917.7;274.43;441.766;
10.3;921.7;275.95;442.72;
11.3;922.8;276.68;442.871
12.3;923.2;276.92;442.871
13.3;925.7;277.85;443.743
14.3;929.1;278.6;445.256
15.3;932.2;279.34;446.867
16.3;935;280.13;448.303
17.3;938.4;280.96;450.027
18.3;942.2;281.86;452.449
19.3;946.1;282.57;455.396
20.3;950;283.25;458.151
21.3;952.9;283.93;459.657
22.3;955.1;284.63;460.625
23.3;957.4;285.31;461.439
24.3;960.9;286.14;462.767
25.3;964.2;286.84;463.744
26.3;967.8;287.56;466.339
27.3;971.1;288.24;467.377;
28.3;974.7;289.07;468.893;
29.3;978.2;289.75;470.148;
30.3;979.4;290.4;470.284;470.284
1.4;984.4;291.87;472.041;
2.4;987.2;292.65;473.381;
3.4;990;293.46;475.308;
4.4;993;294.2;476.978;
5.4;995.9;294.86;478.878;
6.4;999.7;295.57;480.495;
7.4;1004;296.31;482.275;
8.4;1007.6;297.12;484.834;
9.4;1010.9;297.88;486.81;
10.4;1012.5;298.68;487.386;
11.4;1016.6;299.41;490.18;
12.4;1020.9;300.13;493.074;
13.4;1025.1;300.92;495.444;
14.4;1028.6;301.71;497.039;
15.4;1030.1;302.48;497.807;
16.4;1030.8;302.93;497.914;
17.4;1033.4;304.14;499.263;
18.4;1036.8;304.86;501.524;
19.4;1039.9;305.62;502.83;
20.4;1042.2;306.46;503.768;
21.4;1046.5;307.16;505.703;
22.4;1048.5;307.85;506.073;
23.4;1049.8;308.59;506.373;
24.4;1051;309.34;506.596;
25.4;1055.5;310.13;508.418;
26.4;1059.6;310.78;510.056;
27.4;1064.4;311.7;512.576;
28.4;1068.7;312.41;514.512;514.512
20.5;1148;329.83;561.177;
21.5;1149.5;330.72;561.614;
22.5;1152.6;331.63;563.04;
23.5;1156.8;332.39;564.437;
24.5;1160;333.24;565.613;
25.5;1161.5;334.05;565.898;
26.5;1164.9;335.09;567.288;
27.5;1192;335.83;568.873;
28.5;1173.3;336.55;571.254;
29.5;1177.9;337.29;574.583;
30.5;1181.7;338.12;576.556;
31.5;1183.2;338.94;576.791;576.791
1.6;1186.4;339.87;577.95;
2.6;1190.4;340.74;579.694;
3.6;1193.2;341.47;581.016;
4.6;1195.7;342.44;582.097;
5.6;1200.5;343.27;584.54
6.6;1204.6;344.08;586.585
7.6;1208.9;344.92;589.211
8.6;1213.6;345.78;591.369
9.6;1217.3;346.68;592.143
10.6;1218.7;347.57;592.359
11.6;1222.8;348.53;594.204
12.6;1225;349.34;595.1
13.6;1228.6;350.35;597.015
14.6;1232.4;351.25;599.019
16.6;1239.7;352.94;601.339
18.6;1249;355.07;606.053
19.6;1253.5;356.19;608.307
20.6;1257.5;357.34;609.834
21.6;1261.9;358.6;612.317
22.6;1265.2;359.91;613.939
23.6;1269.8;361.04;616.042;
24.6;1274.2;362.3;619.266;
25.6;1278.8;363.48;622.198;
26.6;1283;364.68;624.1;
28.6;1289.7;367.26;627.286;
29.6;1294.2;368.49;630.161;
30.6;1298.2;369.77;631.646;631.646
1.7;1301;370.97;632.609;
2.7;1304.8;372.14;633.73;
3.7;1308.1;373.26;635.377;
4.7;1312.9;374.29;637.7;
5.7;1317.6;375.46;639.738;
7.7;1324.2;377.55;642.228;
8.7;;378.63;643.756;
10.7;1334.7;380.79;646.499;
11.7;1339;381.91;648.15;
12.7;1343;382.97;649.324;
14.7;1351.3;384.94;651.974;
15.7;1355.9;385.83;654.135;
23.7;1385;392.87;673.093;
24.7;1388.6;393.76;674.295;
25.7;1391.8;394.62;675.235;
26.7;1396.3;395.47;677.527;
27.7;1400.5;396.32;678.319;
28.7;1402.2;397.21;678.448;
29.7;1406.1;398.03;679.855;
30.7;1410.7;398.92;681.982;681.982
